Designator,Footprint,Quantity,Value,LCSC Part #
BUZZER2,BUZ-SMD_L5.0-W5.5-P4.60,1,MLT-5020,C94598
"C10, C4, C5, C6",603,4,4.7uF,
"C11, C12, C13, C14, C16, C17, C18, C19, C20, C21, C22, C23, C24, C3, C38, C39, C40, C44, C46, C47, C48, C49, C50, C51, C53, C56, C57, C58, C62, C64, C66, C67, C68, C71, C9",603,35,100nF,
"C15, C42, C45, C63, C71C",805,5,10uF,
"C26, C54",603,2,10nF,
"C41, C59, C65",603,3,1uF,
C43,805,1,22uF,
"C52, C55",603,2,12pF,
"C60, C61",603,2,3.3pF,
"C7, C8",603,2,15pF,
C72,CP_EIA-3528-21_Kemet-B,1,220uF,
"D1, D2, D3, D4",D_SMA,4,SS14,
ESP32,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,1,ESP32-C3,
FLASH1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
,,,,
,,,,
,,,,
JP1,RF-SMD_FRF05002-JSS103M,1,U.FL-R-SMT-1,C88374
L1,1210,1,3.3uH,
L5,1210,1,2.2uH,
L6,805,1,24nH,
L7,402,1,2nH,
L8,402,1,2.2nH,
"LED1, LED2, LED3, LED4, STATUS1",LED-SMD_4P-L3.2-W2.8-LS5.9_SK6812MINI-E,5,SK6812MINI-E_C5149201,C5149201
"Q1, Q2, Q3, Q4",SOT-23,4,AO3400A,
Q7,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,AO3407A,C15155
"R10, R19, R9",603,3,470,
"R11, R20, R22, R24",603,4,4.7k,
"R12, R13, R21, R23, R27",603,5,100,
"R14, R15, R16, R29, R30, R31",603,6,10k,
R17,603,1,806k,
R18,603,1,110k,
"R25, R26",603,2,220k,
R28,603,1,100k,
"R3, R7, R8",603,3,1k,
"R32, R33",603,2,5.1k,
"R34, R35",603,2,27,
R6,603,1,33,
RP2350,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,1,RP2350A,
SW1,SW-TH_MSK12C02,1,MSK12C02,C431540
"SW2, SW3, SW4, SW5",KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,4,SKRPACE010,C139797
U1,LGA-14_L3.0-W2.5-P0.50-BR,1,LSM6DSRTR,C784817
U12,SOT-23-5,1,AP2112K-3.3,
U3,SOT-563_L1.6-W1.2-P0.50-LS1.6-BR,1,TPS61023DRLR,C919459
U4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,SN74LVC1T45DBVR,C7843
U5,LGA-10_L2.0-W2.0-P0.50-TL_BMP581,1,BMP581,C5362283
USB1,USB-C_SMD-TYPE-C-31-M-12,1,USB-TYPE-C-018,C2927038
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,
Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,
